Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
general,Firefox 61.0,,2018-07-29 12:38:55,2018-07-29 12:40:16,"1m - 21,001s",PASSED
,,,,,,
Test Cases/Kms_Tests/Languages/En/Item_Creation/Create_general_Test_En,Firefox 61.0,,2018-07-29 12:38:55,2018-07-29 12:40:16,"1m - 20,366s",PASSED
Start listener action : beforeTestCase,Firefox 61.0,,2018-07-29 12:38:55,2018-07-29 12:39:04,"8,264s",PASSED
Statement - com.system.RolesHelper.getCm_En().Login_En(),Firefox 61.0,login as content manager,2018-07-29 12:39:04,2018-07-29 12:39:09,"5,369s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().clickUpperButtonCreateItem(),Firefox 61.0,create new item by clicking on CREATE NEW ITEM button,2018-07-29 12:39:09,2018-07-29 12:39:27,"18,469s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().chooseTemplateByTyping(),Firefox 61.0,choose template  ,2018-07-29 12:39:27,2018-07-29 12:39:30,"2,466s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().getItemPropertyTabGeneral().setItemName(),Firefox 61.0,set item name,2018-07-29 12:39:30,2018-07-29 12:39:40,"9,970s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().getGeneralTab().getHtmlEditor().clickEditHTML(),Firefox 61.0,set updated date,2018-07-29 12:39:40,2018-07-29 12:39:45,"5,152s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTaskBar().clickSaveAndRelocateToLastFolder(),Firefox 61.0,save to last folder,2018-07-29 12:39:45,2018-07-29 12:39:54,"8,746s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTopToolBar().searchByFirstDescriptionWord(),Firefox 61.0,find item by each of description word in the search dropdown list,2018-07-29 12:39:54,2018-07-29 12:39:54,"0,000s",NOT_RUN
Statement - com.system.RolesHelper.getCm_En().deleteAllCreatedItems(),Firefox 61.0,delete all items,2018-07-29 12:39:54,2018-07-29 12:40:11,"17,564s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTopToolBar().clickHomeButton(),Firefox 61.0,click home page,2018-07-29 12:40:11,2018-07-29 12:40:12,"0,281s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTopToolBar().logout(),Firefox 61.0,logout from system,2018-07-29 12:40:12,2018-07-29 12:40:15,"3,728s",PASSED
closeBrowser,Firefox 61.0,close browser,2018-07-29 12:40:15,2018-07-29 12:40:16,"0,221s",PASSED
Start listener action : afterTestCase,Firefox 61.0,,2018-07-29 12:40:16,2018-07-29 12:40:16,"0,001s",PASSED
